BSE.Code,Name
532382,Balaji Telefilms Ltd
502355,Balkrishna Industries Ltd
539251,Balkrishna Paper Mills Ltd
500102,Ballarpur Industries Ltd
523319,Balmer Lawrie & Company Ltd
532485,Balmer Lawrie Investment Ltd
500038,Balrampur Chini Mills Ltd
519295,Bambino Agro Industries Ltd
526849,Banaras Beads Ltd
500039,Banco Products (India) Ltd
532946,Bang Overseas Ltd
539120,Bangalore Fort Farms Ltd
532134,Bank of Baroda
532149,Bank of India
532525,Bank of Maharashtra
532674,Bannari Amman Spinning Mills Ltd
500041,Bannari Amman Sugars Ltd
503722,Banswara Syntex Ltd
532916,Barak Valley Cements Ltd
532336,Baron Infotech Ltd
532694,Bartronics India Ltd
500042,BASF India Ltd
500043,Bata India Ltd
506285,Bayer CropScience Ltd
517246,BCC Fuba India Ltd
539621,BCL Enterprises Ltd
524332,BCL Industries & Infrastructures Ltd
539447,Beardsell Ltd
533270,Bedmutha Industries Ltd
539546,Beekay Niryat Ltd
539018,Beekay Steel Industries Ltd
532645,Beeyu Overseas Ltd
522650,Bemco Hydraulics Ltd
500048,BEML Ltd
509438,Benares Hotels Ltd
533095,Bengal & Assam Company Ltd
509480,Berger Paints India Ltd
531340,Bervin Investments & Leasing Ltd
524606,Beryl Drugs Ltd
531582,Beryl Securities Ltd
508664,Best Eastern Hotels Ltd
538566,Best Steel Logistics Ltd
512477,Betex India Ltd
533303,BF Investment Ltd
532430,BF Utilities Ltd
539662,BFL Developers Ltd
511664,BGIL Films & Technologies Ltd
532930,BGR Energy Systems Ltd
509449,Bhagawati Oxygen Ltd
530803,Bhageria Industries Ltd
531719,Bhagiradha Chemicals & Industries Ltd
504646,Bhagwati Autocast Ltd
512296,Bhagyanagar India Ltd
540621,Bhagyanagar Properties Ltd
512608,Bhandari Hosiery Exports Ltd
500052,Bhansali Engineering Polymers Ltd
531862,Bharat Agri Fert & Realty Ltd
511501,Bharat Bhushan Finance & Commodity Brokers Ltd
503960,Bharat Bijlee Ltd
500049,Bharat Electronics Ltd
533228,Bharat Financial Inclusion Ltd
500493,Bharat Forge Ltd
505688,Bharat Gears Ltd
500103,Bharat Heavy Electricals Ltd
524663,Bharat Immunological & Biological Corporation Ltd
500547,Bharat Petroleum Corporation Ltd
590021,Bharat Rasayan Ltd
540700,Bharat Road Network Ltd
523229,Bharat Seats Ltd
539799,Bharat Wire Ropes Ltd
532609,Bharati Defence & Infrastructure Ltd
533499,Bharatiya Global Infomedia Ltd
532454,Bharti Airtel Ltd
534816,Bharti Infratel Ltd
526666,Bhartiya International Ltd
514272,Bhilwara Spinners Ltd
533108,Bhilwara Technical Textiles Ltd
500055,Bhushan Steel Ltd
540061,BIGBLOC Construction Ltd
533321,Bil Energy System Ltd
526853,Bilcare Ltd
531590,Bilpower Ltd
500059,Binani Industries Ltd
523054,Binayaka Tex Processors Ltd
514215,Binny Ltd
535620,Binny Mills Ltd
534535,Bio Green Papers Ltd
532523,Biocon Ltd
524396,Biofil Chemicals & Pharmaceuticals Ltd
532330,Biopac India Corporation Ltd
538364,Birdhi Chand Pannalal Agencies Ltd
500060,Birla Cable Ltd
500335,Birla Corporation Ltd
522105,Birla Precision Technologies Ltd
519500,BKV Industries Ltd
514183,Black Rose Industries Ltd
532290,BLB Ltd
506197,Bliss GVS Pharma Ltd
526225,Bloom Dekor Ltd
540073,BLS International Services Ltd
502761,Blue Blends (India) Ltd
531495,Blue Coast Hotels Ltd
526612,Blue Dart Express Ltd
514440,Blue Pearl Texspin Ltd
500067,Blue Star Ltd
506981,Bluechip Tex Industries Ltd
531420,BMB Music & Magnetics Ltd
500069,BNK Capital Markets Ltd
530809,BNR Udyog Ltd
524370,Bodal Chemicals Ltd
501425,Bombay Burmah Trading Corporation Ltd
501430,Bombay Cycle & Motor Agency Ltd
500020,Bombay Dyeing & Manufacturing Company Ltd
532678,Bombay Rayon Fashions Ltd
523133,Bonanza Industries Ltd
506315,Borax Morarji Ltd
500530,Bosch Ltd
500074,BPL Ltd
505690,Brady & Morris Engineering Company Ltd
535693,Brahmaputra Infrastructure Ltd
530207,Brawn Biotech Ltd
530249,Bridge Securities Ltd
532929,Brigade Enterprises Ltd
539434,Brilliant Portfolios Ltd
500825,Britannia Industries Ltd
534731,Bronze Infra-Tech Ltd
533543,Brooks Laboratories Ltd
533276,BS Ltd
532123,BSEL Infrastructure Realty Ltd
514045,BSL Ltd
540006,Bullish Bonds & Holdings Ltd
532931,Burnpur Cement Ltd
517421,Butterfly Gandhimathi Appliances Ltd
532813,C & C Constructions Ltd
507515,C J Gelatine Products Ltd
532321,Cadila Healthcare Ltd
517236,Calcom Vision Ltd
532386,California Software Company Ltd
532801,Cambridge Technology Enterprises Ltd
524440,Camex Ltd
532834,Camlin Fine Sciences Ltd
540071,Camson Seeds Ltd
511196,Can Fin Homes Ltd
532483,Canara Bank
533267,Cantabil Retail India Ltd
539198,Capfin India Ltd
532938,Capital First Ltd
530879,Capital India Finance Ltd
538476,Capital Trade Links Ltd
511505,Capital Trust Ltd
524742,Caplin Point Laboratories Ltd
531595,Capri Global Capital Ltd
512169,Capricorn Systems Global Solutions Ltd
509486,Caprihans India Ltd
507486,Caprolactam Chemicals Ltd
536974,Captain Polyplast Ltd
513375,Carborundum Universal Ltd
